id,createdDate,updatedDate,version,allowedContributionTypes,state
0008ed19-e5ed-4623-a78d-0173d1607134,"2024-08-19 09:10:29.250887","2024-08-19 09:10:29.250887",1,post,open
003d834b-65cb-4c15-8105-1f6e4ebae189,"2024-04-08 10:00:02.204387","2024-04-08 10:00:02.204387",1,,open
003db593-73e1-48f7-b984-a9bb5df4506e,"2024-03-05 10:59:32.913825","2024-03-05 10:59:32.913825",1,,open
0043aabf-2ac3-4f4a-bf9e-7c867031e5ff,"2024-06-04 11:31:30.330327","2024-06-04 11:31:30.330327",1,,open
004be651-c12e-46fe-987f-5df2c4ab9de6,"2024-04-30 21:17:07.289281","2024-04-30 21:17:07.289281",1,,open
005c811e-e32f-4737-88a8-66b509b56453,"2023-11-06 14:18:40.741977","2023-11-06 14:18:40.741977",1,,open
0079f8c8-87dc-4f6b-8c52-ac7beef2c46f,"2023-11-16 11:39:56.068664","2023-11-16 11:39:56.068664",1,link,closed
0088c65f-2222-44fa-959f-8c76ec844db8,"2023-11-06 14:18:29.742547","2023-11-06 14:18:29.742547",1,post,open
008953ca-0b5d-4148-b9a1-ef342c9777e1,"2023-11-06 14:18:22.027880","2023-11-06 14:18:22.027880",1,link,closed
009bf7c7-0855-47b0-a070-3a4ae9429a81,"2023-11-06 14:18:37.007572","2023-11-06 14:18:37.007572",1,post,open
00ae566a-b029-4746-b230-0661f4b74f74,"2024-03-07 09:26:53.822573","2024-03-07 09:26:53.822573",1,,open
00b76c25-f8f8-4fa6-bd3e-be37b40f2ef6,"2024-07-08 10:37:45.401933","2024-07-08 10:37:45.401933",1,,closed
00beb8c5-bbdd-415b-b29e-14aa7c9fdd2e,"2024-03-01 12:54:14.119122","2024-03-01 12:54:14.119122",1,,open
00c53ef9-409b-487c-86c8-9daa1efeb5ff,"2023-11-06 14:18:11.156281","2023-11-06 14:18:11.156281",1,whiteboard,open
00c5bab3-9585-479b-ab06-0ddda711ae43,"2024-01-11 10:05:58.815898","2024-01-11 10:05:58.815898",1,,open
00c70241-edee-4eca-bfbe-2e33d3a20266,"2023-11-06 14:18:40.353476","2023-11-06 14:18:40.353476",1,post,open
00d7f10a-6376-4b2d-84e8-f9bded5549bf,"2024-08-14 08:36:34.387093","2024-08-14 08:36:34.387093",1,,closed
