rowId,id,createdDate,updatedDate,version,nameID,authorizationId,profileId,agentId,legalEntityName,domain,website,contactEmail,verificationId,preferenceSetId,storageAggregatorId,communicationID,accountID
39,003677e6-3fea-45df-b4f1-af46296bc087,"2023-04-06 12:52:53.248304","2024-08-27 14:19:28.060133",3,release-06-04-2023-org,6ad00912-70dc-4b91-b638-346ca2d46644,d8959cb3-52d0-4ecc-a05f-049b243d1513,585ef9b8-e99d-4662-9acb-2694ad37aecf,"m Ipsum is simply dummy text ",test.com,https://123.com,123@test.com,da4f58d4-d1dc-47cc-bc0b-477a0708b0f4,c70fe355-85b0-4adb-a53c-6b7dc57911f2,40869cd7-8777-4453-b89c-8fa7b0448a1a,,5ab4e4dc-cd6c-4c51-9b9c-a22480f5df6d
68,0f6248ee-40f4-4e24-8a03-608d01c525f7,"2023-11-09 15:55:56.153549","2024-08-27 14:19:25.941463",3,check-org-membership,88460d0d-24ec-442c-9c6a-83e12adb6bf0,5dadef54-452f-4b87-a44d-2d27db74ef29,07db7c49-f328-4711-a5e0-ba3fce62f404,,gmail.com,,check-org-membership@gmail.com,75501555-7215-46da-8362-da051d8c9880,3f37f039-494e-40e0-9796-17a5b3c684ac,e1289da7-7c00-44e6-9c4d-f6ce01a9b4a7,,5b5c47b0-2b44-4d38-9ca9-4b23d06072db
65,10dcd75d-426c-4fd5-935e-f2b368890fc4,"2023-10-11 10:43:37.717942","2024-08-27 14:19:26.641619",3,release-11-10-2023-org,ad3fad75-9dab-47a8-8c34-0b375876dcc9,36b63228-2de0-4521-ad52-60e533b90ffd,18b071ec-15ae-4fde-a7a2-3ee21ea3a645,Release-11-10-2023-org,test.com,https://123.com,ev.dimitrovv@gmail.com,84c6f8e3-8d0f-419f-8dde-cc5019bfe942,e2dccba8-a5cb-42c9-8769-d26e2d7f6cce,4191b1b5-56a4-4fe2-8a9e-69e8cd1103e2,,c42bceab-053c-4ac9-a250-3195eccd3997
93,11a326ca-d73d-47f3-aab3-06a6918cebb8,"2024-04-08 10:15:21.660191","2024-08-27 14:19:27.011786",2,search-org-archived,652a4299-9d44-4bec-b970-d9fb1f9dd882,2d158e52-203d-4102-9e1d-43cbb76743c6,2e16463d-f216-4a30-b50b-76e3d224d532,,,,,6ee50711-f48f-43e2-8fab-98db20a713b7,82efc388-bd79-4e4c-ae8b-9e6b7908026c,da3308fc-678c-41aa-bbca-b58d107d3de7,,756d52ec-775d-4be7-9146-307a107a84cd
67,1306fa59-ff5b-4620-b6b6-9d5fb5574c7c,"2023-11-09 15:19:26.447417","2024-08-27 14:19:27.930054",3,release-09-11-2023-org,4f4f214f-3a25-4fd2-9076-dd5aa0cb2938,33cadbf2-bd56-4491-8b26-b25170e1784c,52e5727d-7b9d-44a6-820f-18bb71da4d0b,experiment,Release-09-11-2023-org,https://www.experiment.io,experiment@alkem.io,8ee512f8-cdda-401a-88d0-196295723e85,e8c849f2-c142-40a7-9141-cb9621893f29,140905b1-bf16-4cd5-b2dd-df1124415aba,,94299cff-0bcf-4780-a980-ca404b05e399
27,17c6b02e-b6a7-42b5-a327-72b06868d00c,"2023-01-11 14:45:50.401391","2024-08-27 14:19:30.455984",2,release-11-01-23-org,9ef2fb87-5dfc-4264-b834-d9114ce883ec,abb19500-2e38-4e01-aef8-e6d8cffc38f8,c6665066-ebc3-4eae-9053-ece337314a24,,,,,062b55d9-8de0-44f9-8cd0-282a83aaf332,56049a77-2ca4-42b3-a47e-dfef97a16835,1f7e60dd-e97e-4ead-8bee-1eea15ff0c68,,8f4851a2-d22c-4d7e-b2ee-74c2fcdb726c
22,1f5463d7-c883-45d2-bd95-a6746f95ea51,"2022-11-25 09:53:16.040006","2024-08-27 14:19:31.140727",3,org-release-25-11-2022,4e8653cb-a695-40d3-b128-438528a3eac4,18d59c7c-5cb8-4a07-aae0-91b65ec0a714,d74fdd49-d8af-4403-a8e4-403bc8f4b96b,org-release-25-11-2022,experiment.io,https://www.experiment.io,experiment@alkem.io,c768d2e7-76de-4a7b-a4e2-21f2758c9308,e3025ed9-bfdb-4aeb-ab9c-3aa731d4d3a8,68597551-149e-4361-b31d-3d909ef2e242,,06e3c69e-1b31-4770-855b-6047d50dbd67
44,1fe938e3-0463-4d52-bd5a-de73dcd0ee0f,"2023-05-10 07:44:21.673780","2024-08-27 14:19:27.144444",2,org-migration-ipfs,3fbe2f20-1041-4479-9af5-fcbc8bdde240,1b750bce-64d3-4b06-88df-1387ea3ed8c7,30d29dde-b960-4a69-9b86-7de1b83d01c7,,,,,d1126b30-0a50-4064-bfd1-60b41e2f736d,b24b5ca6-73ef-4bd8-b34f-afe2136f016c,aa17be27-3d35-4167-943d-8472278fd5bd,,b1f08f97-5af5-44ee-b91a-9b9b2b5c4580
4,201571e5-fbf7-44fc-9dd2-16c1ae80912c,"2022-07-13 14:13:58.433758","2024-08-27 14:19:26.515034",2,food,aad6f76b-bffe-4b6e-b257-5417611b4c77,2aeec5bb-41c4-416e-adc4-34237c7d8225,14541b28-9fbd-45d0-8f77-10ec4c6ca2e5,,,,,152225d5-9796-441f-98fb-e5770be3bb5d,e20d0a3a-3b69-465c-b798-e15947ebf8f0,00b7c488-1548-46c7-8891-333d1cedc2ea,,fa7550c2-78b1-402d-9b22-e8733aa48137
80,20da45fe-d354-41bd-8967-1e887a33e9aa,"2024-03-25 11:28:55.217222","2024-08-27 14:19:28.614302",3,march25-org,1dd7de39-4a27-4889-9175-cc86719e7f89,b6c8d9c0-2501-4c48-9a1b-ff95b7a0ff20,7805cfbc-d470-4783-8192-66af52e1d984,March25-org,March25-org,https://www.March25-org.org,test@alkem.io,0c0db4fa-5eff-4203-8e37-4a702acd46e8,66c88e4f-2be1-479a-98c4-697a9ae9b0eb,b0f74a54-64a4-4e03-b1f9-7c005c668d7b,,974984ac-f2c7-4ae5-9f4b-a1086fcdc4a7
73,2418adff-78b5-4da1-88c4-4c6a202d2187,"2024-02-01 12:14:53.171491","2024-08-27 14:19:30.517812",3,org-01-02-24-release,56311ef7-9a5c-41bb-8a60-5c7929b41401,cf9fc5f5-3d37-4e7c-a1d3-7a5470c2d62f,c9404b7c-d790-437a-8f25-886651d4ac88,organization2_legal_name,test.com,https://123.com,test@alkem.io,f57e87fb-4298-4df2-8851-9ac05cde549e,42e7d5d5-7f7a-4404-897a-186533dda6f4,72364135-05a4-479b-adb5-e19fce5ac8c1,,abe1d483-1150-4a46-ab46-4622da39cdb7
24,2546fe1d-38b5-462a-81f0-968fd906cb67,"2022-12-13 15:05:04.113785","2024-08-27 14:19:26.760343",2,org-release-13-12-2022,3b1ecb74-81c3-4410-9e64-5c294755e723,71b22f16-9935-4c83-adc9-aad3485b2a4b,1b75a2e8-6129-408a-b01c-5eca7f3ee8b2,,,,,2015bf1d-6be8-4bdd-9464-9139ad2c21a7,47e38af6-0656-416b-97cc-8ce9256a06b7,fe2a59d6-66e1-41c8-a233-17edd3963789,,064a3f21-949f-4abb-81d9-10c880046a24
62,25be480f-0181-4e84-b594-bc954094e9ab,"2023-09-20 09:15:14.313254","2024-08-27 14:19:30.635758",3,org-20-09-23-release,61b49181-be15-411d-8b13-dad3fe0b893b,68bacd68-64ad-49ad-a91e-04bccd5f134b,cd0f6d55-965b-4728-83da-676f9d412b42,org-20-09-23-release,test.com,https://123.com,test@email.com,652e25fb-cb3e-495f-95bc-545c29024135,4d2bbb3d-d582-4212-a569-d521286ee952,dc05d9ad-ae17-4e47-a624-41198ce4a787,,7b2f50ae-25c1-4470-9d51-68c41b6260d0
56,25dce762-da2a-44f7-bbed-ff5644b22dc4,"2023-07-27 14:03:35.785581","2024-08-27 14:19:25.715844",3,release-27-07-2023-org,ef1bf0d8-1a69-4290-839b-4c0bbd595788,a05a4bef-b690-4afd-a379-0eee248221ba,02772c00-4593-4f09-b6c2-dc72b0927b94,"m Ipsum is simply dummy text ",test.com,https://123.com,ev.dimitrovv@gmail.com,12cfe446-77f0-4b0c-975b-7519eed7dc8d,5b056b67-cea1-4fc4-80eb-d9b7730f80a8,30d95d7d-7099-4221-9250-4d07e1ffca7d,,89b950ad-9cbb-4499-9b4e-ca10e3b631d8
