id,createdDate,updatedDate,version,name,tags,authorizationId,profileId,tagsetTemplateId,type
000bc916-f708-4d17-9624-cbcdac6892ed,"2023-07-11 13:16:35.531311","2023-07-11 13:16:35.531311",1,default,,63554d38-9d0a-4a1f-aad8-f0819c546137,NULL,NULL,freeform
0020454e-dd0c-4b4f-867d-dfe02b6eb7c6,"2023-05-11 10:20:29.499241","2023-07-10 12:33:27.283806",1,default,,505df5da-f857-49f1-9195-2e4f3021564f,NULL,NULL,freeform
0020acb2-3933-4379-875e-83605f29f582,"2023-12-05 17:23:39.039178","2023-12-05 17:23:39.039178",1,default,,4f680470-44d7-4fcd-99dd-0402e00c5aab,NULL,NULL,freeform
00331891-2bdb-46ae-9ee9-51ee201ee607,"2023-11-06 14:54:05.300427","2023-11-06 14:54:05.300427",1,default,,0547ed4b-51a9-4dcd-823b-6731394f3eaa,NULL,NULL,freeform
00409f6c-8c3f-4ff9-a697-16c96be63993,"2024-07-25 14:40:21.933059","2024-07-25 14:40:21.933059",1,default,,a3b657ca-7a85-4aa6-a6c5-7e2d235c1d83,NULL,NULL,freeform
004523c3-07fa-438b-9914-e35b6777538e,"2023-12-18 12:59:39.149320","2023-12-18 12:59:39.149320",1,default,,1d9f7292-bea4-4c29-9f91-14ef5b65b2ff,NULL,NULL,freeform
00bcf8b0-57c9-40b0-be84-35fa32add576,"2024-01-19 08:53:53.027030","2024-01-19 08:53:53.027030",1,default,,9c078ee8-bb7f-44e4-82d3-cd395c732c61,NULL,NULL,freeform
00e76805-5884-444a-82cf-ede3f3a05f71,"2023-11-06 14:54:09.001665","2023-11-06 14:54:09.001665",1,default,,40925c39-c68e-46e0-9869-0b02fa8c841f,NULL,NULL,freeform
010f5c32-e8b7-43b2-9747-c967942ca00c,"2023-12-14 13:47:01.414373","2023-12-14 13:47:01.414373",1,default,,d7bf9e46-40b5-4ae0-ace6-93ea27d2563e,NULL,NULL,freeform
01445f8a-8197-4269-a287-e97e738bd8d0,"2024-05-17 08:38:30.475576","2024-05-17 08:38:30.475576",1,default,,37b12e0e-42c6-4c3c-937f-6765789fa0c0,NULL,NULL,freeform
