id,createdDate,updatedDate,version,did,password,authorizationId,type
1f3f11a9-0e43-4e79-8691-44c3c6d233fe,"2024-07-05 08:31:28.792288","2024-07-05 08:31:28.792288",1,,,6830c874-4378-407c-8f52-49d86a13d363,NULL
20146e7f-c507-49ea-9567-621e762e9d31,"2024-07-01 08:22:08.561901","2024-07-01 08:22:08.561901",1,,,9c13b3d2-d959-4c1d-afdc-9a07fe15636b,NULL
2cecfaae-3ee7-4bd2-b501-e3ac28d112a2,"2024-06-05 09:37:14.760705","2024-06-05 09:37:14.760705",1,,,2e03159b-a3c2-4548-a878-d0d83a4b3045,NULL
320e4fbc-0dba-4223-97aa-08d91408946e,"2024-06-06 08:37:00.151545","2024-06-06 08:37:00.151545",1,,,e0ef3e1b-488f-4582-8b25-32f6d49bb63f,NULL
34aecc85-d554-4596-a8cd-e16921a7897f,"2024-07-05 14:09:53.264634","2024-07-05 14:09:53.264634",1,,,7e878d43-7156-4c74-ac77-d11aa3c858e6,NULL
45e00b54-efd6-43df-964c-114143541039,"2024-07-19 10:24:58.098393","2024-07-19 10:24:58.098393",1,,,20151e06-9dbb-4e5d-bfc9-3abb859a6dc8,NULL
52f841ce-414c-44f9-8405-8af7edf2e014,"2024-06-05 09:44:30.532080","2024-06-05 09:44:30.532080",1,,,b990d8ad-de20-4e8b-9bae-86a3850185ae,NULL
57544f8f-9dd0-4419-b7a0-6fff2cf4cd1a,"2024-07-01 09:21:25.205775","2024-07-01 09:21:25.205775",1,,,ac70575d-ceb1-435f-9d99-75791ca49a99,NULL
619c40fe-cc64-4e1c-ac1a-cf7cbeaa3dc1,"2024-06-05 09:44:28.003969","2024-06-05 09:44:28.003969",1,,,afefe7f9-321c-4efe-a36d-e8fe7e2c1cb9,NULL
645d8273-5012-4b82-bbda-7a769b22f039,"2024-06-05 09:44:36.173894","2024-06-05 09:44:36.173894",1,,,2ebc5ef0-c4a0-4dd5-b279-69ec3924507a,NULL
740c8b01-6eb5-4c47-ba31-4a5a83b72de5,"2024-06-05 09:37:15.344171","2024-06-05 09:37:15.344171",1,,,f3118320-8386-47dc-8aad-f43a0d328004,NULL
7727979d-81b6-4d47-befa-8cbc22ff8842,"2024-02-09 13:47:31.658192","2024-02-09 13:47:31.658192",1,,,1d7ae310-da0a-4055-8112-312828aad413,NULL
a0c77fc6-4536-4bb6-b37b-a91e6b46b4ec,"2024-02-09 13:52:28.265789","2024-02-09 13:52:28.265789",1,,,88a33343-1f06-4177-af65-656f1b919aa0,NULL
abbc16f7-361c-4c75-9589-04bc7c54c83e,"2024-06-05 09:44:33.000866","2024-06-05 09:44:33.000866",1,,,99194ea2-154e-4183-8845-27b099ff2adf,NULL
b6b26b40-6729-4ad7-a2cc-8a99635e5dfc,"2024-06-05 09:43:34.418914","2024-06-05 09:43:34.418914",1,,,3d5847b7-0d75-40d0-bfc1-bdf16f9bd2de,NULL
b7080996-46c3-4ebd-96ff-24580c924533,"2022-08-24 09:03:32.247467","2022-08-24 09:03:32.247467",1,,,1f931c40-8fd3-4724-80d7-a77e7d31d661,NULL
da62fb14-60ff-4408-978c-217634774383,"2023-03-01 16:48:36.587783","2023-03-01 16:48:36.587783",1,,,8e64dd1e-dc5b-44ec-af6d-fbcd26179962,NULL
dd806121-544d-4445-a2ff-75911f08493e,"2024-06-05 09:37:08.560057","2024-06-05 09:37:08.560057",1,,,d09cb0d8-2568-43d6-8e68-6477dfb9420e,NULL
e0d1a055-f619-4104-91d3-35b0cc4ab3e6,"2024-07-11 15:06:42.178679","2024-07-11 15:06:42.178679",1,,,87e6b82c-f7f2-4dc1-a518-ed2b125e0a21,NULL
e123403d-38a1-4d9a-a6e0-b481a804cc48,"2024-07-05 08:32:51.472476","2024-07-05 08:32:51.472476",1,,,03ce212b-171e-4f4f-95ad-0a9b5273009d,NULL
e41679e5-52ec-4679-83e3-b1b5da793bee,"2024-07-05 08:32:01.232250","2024-07-05 08:32:01.232250",1,,,f7b9d78c-006c-4630-afcf-050af6484042,NULL
f55c8659-9804-4773-95eb-a74b066c55c9,"2024-06-05 09:44:19.150048","2024-06-05 09:44:19.150048",1,,,9fb7316d-62fb-478a-b764-35c0836db76e,NULL
